"codigo";"nome";"departamento_id"
1;"AGRICULTURA E MEIO AMBIENTE";2
2;"GOVERNANÇA AMBIENTAL";2
3;"HISTÓRIA AMBIENTAL DO BRASIL";2
4;"INDICADORES DE DESENVOLVIMENTO SUSTENTÁVEL";2
5;"INTRODUÇÃO AO DESENVOLVIMENTO SUSTENTÁVEL";2
6;"MEIO AMBIENTE, CULTURA E SOCIEDADE";2
7;"POLÍTICAS PÚBLICAS E MEIO AMBIENTE";2
8;"POPULAÇÃO E MEIO AMBIENTE";2
9;"PRÁTICA DE PESQUISA 1";2
10;"SISTEMAS SOCIOAMBIENTAIS E COMPLEXIDADE";2
11;"TRABALHO INTERDISCIPLINAR INTEGRADO 1";2
12;"ADMINISTRAÇÃO PÚBLICA E ÉTICAS OBJETOS DE ESTUDO E DE CONHECIMENTO";3
13;"ADVOCACIA URBANA";3
14;"AGRICULTURA ALTERNATIVA";3
15;"CIDADANIA, CORRUPCAO E DEMOCRACIA";3
16;"CULTURA PODER E RELAÇÕES RACIAIS";3
17;"DECRESCIMENTO: CONSUMIR MENOS PARA QUE TODOS VIVAM MELHOR";3
18;"DIREITOS HUMANOS E CIDADANIA: DEMOCRACIA E VIOLÊNCIA";3
19;"FILOSOFIA CLÁSSICA";3
20;"GESTÃO E INOVAÇÃO DE PROCESSOS CRÍTICOS EM ORGANIZAÇÃO DE SERVIÇO";3
21;"HISTÓRIA DA DITADURA MILITAR E DA LUTA ARMADA NO BRASIL";3
22;"INFÂNCIA E JUVENTUDE NA CONTEMPORANEIDADE";3
23;"INTEGRAÇÃO NO MERCOSUL";3
24;"INTRODUÇÃO À GERONTOLOGIA";3
25;"INTRODUÇÃO AOS ESTUDOS DO FUTURO NO BRASIL";3
26;"LAYA YOGA - MEDITAÇÃO TERAPÊUTICA";3
27;"PENSAMENTO LGBT BRASILEIRO";3
28;"PROCESSOS SÓCIO-HISTÓRICO CUBANO E CONTEXTO ATUAL";3
29;"PROMOÇÃO DA SAÚDE 3";3
